Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin ,Final Origin,Field Origin
403,3DD.003DA28A1A,Hat. Summer Steelhead,32H,Mark,610,,AD MA RF,,9/17/2021 7:29,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 7:29,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
404,3DD.003DA28A07,Hat. Summer Steelhead,32H,Mark,550,,AD FE RF,,9/17/2021 7:34,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 7:34,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-3,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
405,3DD.003DA28A1C,Hat. Summer Steelhead,32H,Mark,560,,AD FE RF,,9/17/2021 7:41,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 7:41,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
406,3DD.003DA289D5,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,9/17/2021 7:51,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 7:51,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-5,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
407,3DD.003DA28A09,Hat. Summer Steelhead,32H,Mark,570,,AD MA RF,,9/17/2021 7:52,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 7:52,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-6,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
408,3DD.003DA28A2B,Hat. Summer Steelhead,32H,Mark,540,,AI FE RF,,9/17/2021 8:09,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 8:09,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-1,,,,Passed,Female,Maiden,X,,,1.1,H,H,H
409,3DD.003DA28A02,Hat. Summer Steelhead,32H,Mark,800,,AD FE RF,,9/17/2021 8:13,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 8:13,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-2,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
410,3DD.003DA28A2E,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,Injury-Body,9/17/2021 8:16,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 8:16,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-3,X,,,Passed,Female,Maiden,X,SS,,1.1,H,H,H
411,3DD.003DA289EE,Wild Summer Steelhead,32W,Mark,650,,AI FE RF,,9/17/2021 8:28,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 8:28,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-4,,,,Passed,Female,Maiden,,,,2.1,W,W,W
412,3DD.003DA28A30,Hat. Summer Steelhead,32H,Mark,520,,AD MA RF,,9/17/2021 8:32,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 8:32,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-5,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
413,3DD.003DA28A04,Hat. Summer Steelhead,32H,Mark,570,,AD FE RF,,9/17/2021 9:22,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:22,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-6,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
414,3DD.003DA288F5,Hat. Summer Steelhead,32H,Mark,710,,AD FE RF,,9/17/2021 9:23,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:23,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
415,3DD.003D46A6B2,Hat. Summer Steelhead,32H,Recapture,540,,AD MA RE RF,This is a recap!!!!,9/17/2021 9:25,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:25,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,87-2,X,,,Passed,Male,Maiden,X,,,R.1,H,H,H
416,3DD.003DA288D4,Hat. Summer Steelhead,32H,Mark,590,,AD MA RF,,9/17/2021 9:27,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:27,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-3,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
417,3DD.003DA288E9,Hat. Summer Steelhead,32H,Mark,580,,AD MA RF,,9/17/2021 9:29,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:29,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-4,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
418,3DD.003DA288EE,Hat. Summer Steelhead,32H,Mark,580,,AD CW FE RF,,9/17/2021 9:31,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:31,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,87-5,X,,,Passed,Female,Maiden,X,,,R.1,H,H,H
419,3DD.003BE55BD6,Hat. Summer Steelhead,32H,Recapture,560,,CW FE RE RF,This is a recap!!!!,9/17/2021 9:36,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:36,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,X,,87-6,,,,Passed,Female,Maiden,X,,,R.1,H,H,H
420,3DD.003DA28904,Hat. Summer Steelhead,32H,Mark,770,,AD FE RF,,9/17/2021 9:51,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 9:51,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
421,3DD.003DA288FB,Hat. Summer Steelhead,32H,Mark,560,,AD MA RF,,9/17/2021 10:03,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 10:03,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
422,3DD.003DA288BC,Hat. Summer Steelhead,32H,Mark,580,,AD CW FE RF,,9/17/2021 10:05,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 10:05,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,88-3,X,,,Passed,Female,Maiden,X,,,UNREADABLE,H,H,H
423,3DD.003DA288AA,Hat. Summer Steelhead,32H,Mark,610,,AD MA RF,,9/17/2021 10:54,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/17/2021 10:54,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-4,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
424,3DD.003DA28AD1,Wild Summer Steelhead,32W,Mark,580,,AI FE RF,,9/21/2021 6:12,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 6:12,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-1,,,,Passed,Female,Maiden,,,,W1.1,W,W,W
