Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin ,Final Origin,Field Origin
464,3DD.003DA28AB2,Hat. Summer Steelhead,32H,Mark,590,,AD MA RF,,9/23/2021 13:03,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 13:03,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,95-5,X,,,Passed,Male,Maiden,X,,,R.1,H,H,H
465,3DD.003DA28AC0,Wild Summer Steelhead,32W,Mark,660,,AI MA RF,,9/23/2021 13:40,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 13:40,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,95-6,,,,Passed,Male,Maiden,,,,2.1,W,W,W
466,3DD.003DA28ABE,Hat. Summer Steelhead,32H,Mark,600,,AD MA RF,,9/24/2021 6:19,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 6:19,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,96-1,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
467,3DD.003DA28AF4,Hat. Summer Steelhead,32H,Mark,520,,AD FE RF,,9/24/2021 7:12,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 7:12,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,96-2,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
468,3DD.003DA28AF3,Wild Summer Steelhead,32W,Mark,740,,AI FE RF,,9/24/2021 7:34,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 7:34,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,96-3,,,,Passed,Female,Maiden,,,,R.2,W,W,W
469,3DD.003DA28AC1,Hat. Summer Steelhead,32H,Mark,570,,AD CW FE RF,,9/24/2021 9:08,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 9:08,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,96-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
470,3DD.003DA28AC6,Hat. Summer Steelhead,32H,Mark,600,,AD CW FE RF,,9/24/2021 9:09,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 9:09,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,96-5,X,,,Passed,Female,Maiden,X,,,R.2,H,H,H
471,3DD.003DA28ADE,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,,9/24/2021 10:21,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 10:21,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,96-6,X,,,Passed,Male,Maiden,,,,1.1,H,H,H
472,3DD.003DA28ACF,Hat. Summer Steelhead,32H,Mark,560,,AD CW FE RF,,9/24/2021 10:24,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 10:24,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,97-1,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
473,3DD.003DA28ACE,Hat. Summer Steelhead,32H,Mark,630,,AD FE RF,,9/24/2021 11:10,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 11:10,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,97-2,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
474,3DD.003DA28AE4,Hat. Summer Steelhead,32H,Mark,630,,AD FE RF,,9/24/2021 11:19,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 11:19,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,97-3,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
475,3DD.003DA28AAC,Hat. Summer Steelhead,32H,Mark,600,,AD FE RF,,9/24/2021 11:28,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 11:28,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,97-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
476,3DD.003DA28AAE,Wild Summer Steelhead,32W,Mark,730,,AI MA RF,,9/24/2021 12:37,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 12:37,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,97-5,,,,Passed,Male,Maiden,,,,2.2,W,W,W
477,3DD.003DA28AAB,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,,9/24/2021 12:43,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 12:43,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,97-6,X,,,Passed,Female,Maiden,,,,1.2,H,H,H
478,3DD.003DA28AF6,Hat. Summer Steelhead,32H,Mark,630,,AD FE RF,,9/24/2021 13:05,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/24/2021 13:05,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,98-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
479,3DD.003DA28AB1,Hat. Summer Steelhead,32H,Mark,530,,AD MA RF,,9/27/2021 6:23,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 6:23,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,99-1,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
480,3DD.003DA28AEC,Wild Summer Steelhead,32W,Mark,580,,AI FE RF,,9/27/2021 7:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 7:47,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,99-2,,,,Passed,Female,Maiden,,,,R.1,W,W,W
481,3DD.003DA28AEA,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,9/27/2021 7:57,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 7:57,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,99-3,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
482,3DD.003DA28AD0,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,9/27/2021 8:04,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 8:04,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,99-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
483,3DD.003DA28AC2,Hat. Summer Steelhead,32H,Mark,550,,AD FE RF,,9/27/2021 8:07,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 8:07,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,99-5,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
484,3DD.003DA28AD2,Hat. Summer Steelhead,32H,Mark,610,,AD FE RF,,9/27/2021 8:18,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 8:18,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,99-6,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
485,3DD.003DA28AA9,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,Injury- Left Eye Missing,9/27/2021 8:22,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 8:22,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,100-1,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
486,3DD.003DA28AA2,Wild Summer Steelhead,32W,Mark,590,,AI FE RF,,9/27/2021 8:40,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 8:40,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,100-2,,,,Passed,Female,Maiden,,,,2.1,W,W,W
487,3DD.003DA28AD4,Hat. Summer Steelhead,32H,Mark,560,,AD FE RF,,9/27/2021 11:15,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 11:15,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,100-3,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
488,3DD.003DA28ADC,Hat. Summer Steelhead,32H,Mark,660,,AD CW FE RF,,9/27/2021 11:18,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 11:18,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,100-4,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
489,3DD.003DA28AFC,Hat. Summer Steelhead,32H,Mark,600,,AD FE RF,,9/27/2021 11:30,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 11:30,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,100-5,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
490,3DD.003DA28ABB,Wild Summer Steelhead,32W,Mark,570,,AI FE RF,,9/27/2021 11:31,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 11:31,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,100-6,,,,Passed,Female,Maiden,,,,W1.1,W,W,W
491,3DD.003DA28A9F,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,9/27/2021 11:43,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 11:43,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,101-1,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
492,3DD.003DA28AFA,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,,9/27/2021 11:45,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 11:45,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,101-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
493,3DD.003DA28AB7,Wild Summer Steelhead,32W,Mark,580,,AI FE RF,,9/27/2021 12:04,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 12:04,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,101-3,,,,Passed,Female,Maiden,,,,R.1,W,W,W
494,3DD.003DA28AAF,Wild Summer Steelhead,32W,Mark,570,,AI FE RF,,9/27/2021 12:07,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 12:07,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,101-4,,,,Passed,Female,Maiden,,,,3.1,W,W,W
495,3DD.003DA28AF2,Wild Summer Steelhead,32W,Mark,680,,AI FE RF,,9/27/2021 12:46,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/27/2021 12:46,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,101-5,,,,Passed,Female,Maiden,,,,W1.2,W,W,W
496,3DD.003DA28AC3,Hat. Summer Steelhead,32H,Mark,540,,AD FE RF,,9/29/2021 6:18,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 6:18,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,102-1,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
497,3DD.003DA28ADB,Hat. Summer Steelhead,32H,Mark,840,,AD FE RF,,9/29/2021 8:02,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 8:02,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,102-2,X,,,Passed,Female,Maiden,X,,,1.3,H,H,H
498,3DD.003DA28ADF,Hat. Summer Steelhead,32H,Mark,590,,AD FE RF,,9/29/2021 8:24,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 8:24,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,102-3,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
499,3DD.003DA28AB0,Hat. Summer Steelhead,32H,Mark,520,,AD FE RF,,9/29/2021 8:44,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 8:44,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,102-4,X,,,Passed,Female,Maiden,,,,R.1,H,H,H
500,3DD.003D321956,Wild Summer Steelhead,32W,Recapture,550,,AI FE RE RF,This is a recap!!!!,9/29/2021 8:46,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 8:46,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,102-5,,,,Passed,Female,Maiden,,,,2.1,W,W,W
501,3DD.003DA28AB8,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,9/29/2021 8:59,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 8:59,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,102-6,,,,Passed,Female,Maiden,,,,2.1,W,W,W
502,3DD.003DA28ACB,Hat. Summer Steelhead,32H,Mark,710,,AD FE RF,,9/29/2021 9:53,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 9:53,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,103-1,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
503,3DD.003DA28AFE,Wild Summer Steelhead,32W,Mark,530,,AI FE RF,,9/29/2021 10:00,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 10:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,103-2,,,,Passed,Female,Maiden,,,,2.1,W,W,W
504,3DD.003DA28ABF,Wild Summer Steelhead,32W,Mark,630,,AI MA RF,,9/29/2021 10:05,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 10:05,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,103-3,,,,Passed,Male,Maiden,,,,1.1,W,W,W
505,3DD.003DA28AA1,Hat. Summer Steelhead,32H,Mark,560,,AD FE RF,,9/29/2021 10:11,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 10:11,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,103-4,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
506,3DD.003DA28AA6,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,,9/29/2021 10:43,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 10:43,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,103-5,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
507,3DD.003DA28AE0,Hat. Summer Steelhead,32H,Mark,520,,AD FE RF,,9/29/2021 10:45,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 10:45,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,103-6,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
508,3DD.003DA28AEE,Hat. Summer Steelhead,32H,Mark,560,,AD FE RF,,9/29/2021 10:53,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 10:53,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,104-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
509,3DD.003DA28AE8,Wild Summer Steelhead,32W,Mark,550,,AI FE RF,,9/29/2021 10:57,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 10:57,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,104-2,,,,Passed,Female,Maiden,,,,R.1,W,W,W
510,3DD.003DA28AF5,Hat. Summer Steelhead,32H,Mark,570,,AD FE RF,,9/29/2021 11:42,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 11:42,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,104-3,X,,,Passed,Female,Maiden,X,,,2.1,H,H,H
511,3DD.003DA28AE6,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,,9/29/2021 11:52,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 11:52,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,104-4,X,,,Passed,Female,Maiden,,,,1.1,H,H,H
512,3DD.003DA28AEF,Hat. Summer Steelhead,32H,Mark,600,,AD MA RF,,9/29/2021 12:08,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 12:08,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,104-5,X,,,Passed,Male,Maiden,X,,,1.2,H,H,H
513,3DD.003DA28AD6,Hat. Summer Steelhead,32H,Mark,830,,AD FE RF,,9/29/2021 12:17,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 12:17,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,104-6,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
514,3DD.003DA28ABA,Wild Summer Steelhead,32W,Mark,600,,AI FE RF,,9/29/2021 12:48,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 12:48,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,105-1,,,,Passed,Female,Maiden,,,,2.1,W,W,W
515,3DD.003DA28AC7,Hat. Summer Steelhead,32H,Mark,760,,AD FE RF,,9/29/2021 12:49,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 12:49,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,105-2,X,,,Passed,Female,Maiden,X,,,R.2,H,H,H
516,3DD.003DA28AA8,Hat. Summer Steelhead,32H,Mark,600,,AD MA RF,,9/29/2021 12:55,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 12:55,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,105-3,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
517,3DD.003DA28AC4,Hat. Summer Steelhead,32H,Mark,570,,AD MA RF,,9/29/2021 13:05,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/29/2021 13:05,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,105-4,X,,,Passed,Male,Maiden,X,,,R.1,H,H,H
518,3DD.003DA28AFB,Hat. Summer Steelhead,32H,Mark,550,,AD CW MA RF,,10/1/2021 6:56,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 6:56,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,106-1,X,,,Passed,Male,Maiden,X,,,UNREADABLE,H,H,H
519,3DD.003DA28B00,Hat. Summer Steelhead,32H,Mark,650,,AI FE RF,Changed to H per scale analysis,10/1/2021 7:14,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 7:14,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,106-2,,,,Passed,Female,Maiden,,,,1.1,H,H,W
520,3DD.003DA28AD5,Hat. Summer Steelhead,32H,Mark,750,,AD FE RF,,10/1/2021 8:18,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 8:18,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,106-3,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
521,3DD.003DA28AD7,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,,10/1/2021 8:25,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 8:25,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,106-4,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
522,3DD.003DA28AA5,Hat. Summer Steelhead,32H,Mark,650,,AD FE RF,,10/1/2021 8:33,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 8:33,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,106-5,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
523,3DD.003DA28AF9,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,Injury-Body,10/1/2021 8:56,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 8:56,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,106-6,X,,,Passed,Female,Maiden,X,SS,,1.1,H,H,H
524,3DD.003DA28AA0,Hat. Summer Steelhead,32H,Mark,590,,AD FE RF,,10/1/2021 9:37,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 9:37,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,107-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
525,3DD.003DA28AF7,Hat. Summer Steelhead,32H,Mark,560,,AD MA RF,,10/1/2021 9:44,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 9:44,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,107-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
526,3DD.003DA28ABC,Hat. Summer Steelhead,32H,Mark,740,,AD FE RF,,10/1/2021 10:10,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 10:10,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,107-3,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
527,3DD.003DA28ACD,Wild Summer Steelhead,32W,Mark,620,,AI FE RF,,10/1/2021 10:23,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 10:23,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,107-4,,,,Passed,Female,Maiden,,,,2.1,W,W,W
528,3DD.003DA28AE2,Hat. Summer Steelhead,32H,Mark,540,,AD FE RF,,10/1/2021 10:46,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 10:46,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,107-5,X,,,Passed,Female,Maiden,X,,,H2.1,H,H,H
529,3DD.003DA28B38,Hat. Summer Steelhead,32H,Mark,590,,AD CW MA RF,,10/1/2021 11:04,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 11:04,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,107-6,X,,,Passed,Male,Maiden,X,,,R.1,H,H,H
530,3DD.003DA28B21,Wild Summer Steelhead,32W,Mark,640,,AI MA RF,,10/1/2021 11:28,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/1/2021 11:28,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,108-1,,,,Passed,Male,Maiden,,,,2.1,W,W,W
531,3DD.003D67A4D1,Wild Summer Steelhead,32W,Recapture,600,,AI FE RE RF,This is a recap!!!!,10/4/2021 6:09,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 6:09,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,109-1,,,,Passed,Female,Maiden,,,,2.1,W,W,W
532,3DD.003DA28B31,Hat. Summer Steelhead,32H,Mark,560,,AD MA RF,,10/4/2021 8:17,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 8:17,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,109-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
533,3DD.003DA28B50,Hat. Summer Steelhead,32H,Mark,610,,AD MA RF,,10/4/2021 9:41,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 9:41,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,109-3,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
534,3DD.003DA28B16,Hat. Summer Steelhead,32H,Mark,560,,AD FE RF,,10/4/2021 9:42,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 9:42,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,109-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
535,3DD.003DA28B3B,Hat. Summer Steelhead,32H,Mark,800,,AD CW FE RF,,10/4/2021 10:11,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 10:11,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,109-5,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
536,3DD.003DA28B64,Hat. Summer Steelhead,32H,Mark,570,,AD FE RF,,10/4/2021 10:13,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 10:13,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,109-6,X,,,Passed,Female,Maiden,,,,1.1,H,H,H
537,3DD.003DA28B02,Hat. Summer Steelhead,32H,Mark,590,,AD MA RF,,10/4/2021 10:41,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 10:41,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,110-1,X,,,Passed,Male,Maiden,X,,,R.1,H,H,H
538,3DD.003DA28B25,Wild Summer Steelhead,32W,Mark,540,,AI FE RF,,10/4/2021 10:51,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/4/2021 10:51,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,110-2,,,,Passed,Female,Maiden,,,,2.1,W,W,W
539,3DD.003D431FC8,Hat. Summer Steelhead,32H,Recapture,580,,AD CW FE RE RF,This is a recap!!!!,10/5/2021 6:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/5/2021 6:47,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,X,,111-1,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
540,3DD.003DA28B01,Hat. Summer Steelhead,32H,Mark,580,,AD MA RF,,10/5/2021 9:00,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/5/2021 9:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,111-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
541,3DD.003DA28B08,Hat. Summer Steelhead,32H,Mark,570,,AD FE RF,,10/5/2021 11:03,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/5/2021 11:03,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,111-3,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
542,3DD.003DA28B20,Hat. Summer Steelhead,32H,Mark,640,,AD FE RF,,10/5/2021 11:13,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/5/2021 11:13,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,111-4,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
543,3DD.003DA28B0B,Hat. Summer Steelhead,32H,Mark,600,,AD MA RF,,10/5/2021 12:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/5/2021 12:47,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,111-5,X,,,Passed,Male,Maiden,,,,1.1,H,H,H
544,3DD.003DA28B61,Wild Summer Steelhead,32W,Mark,620,,AI FE RF,,10/5/2021 13:05,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/5/2021 13:05,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,111-6,,,,Passed,Female,Maiden,,,,2.2,W,W,W
545,3DD.003DA28B18,Hat. Summer Steelhead,32H,Mark,590,,AD FE RF,,10/5/2021 13:17,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/5/2021 13:17,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,112-1,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
546,3DD.003DA28B3E,Wild Summer Steelhead,32W,Mark,540,,AI MA RF,,10/6/2021 6:44,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/6/2021 6:44,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,113-1,,,,Passed,Male,Maiden,,,,2.1,W,W,W
547,3DD.003DA28B1B,Hat. Summer Steelhead,32H,Mark,610,,AD MA RF,,10/6/2021 11:03,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/6/2021 11:03,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,113-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
