Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Talley Count,Scale Age,Scale Origin ,Final Origin,Field Origin
310,3DD.003DA2869A,Hat. Summer Steelhead,32H,Mark,560,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/12/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,61-4,,,,,Female,,,,,1.1,H,H,H
311,3DD.003DA2868D,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/12/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,61-5,,,,,Female,,,,,1.2,H,H,H
312,3DD.003DA28694,Hat. Summer Steelhead,32H,Mark,670,,AD FE RF,RP MISSING,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/12/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,61-6,,,,,Female,,,,,1.2,H,H,H
313,3DD.003DA2867D,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/12/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,62-1,,,,,Female,,,,,2.2,W,W,W
314,3DD.003DA28690,Wild Summer Steelhead,32W,Mark,660,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/12/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,62-2,,,,,Male,,,,,1.2,H,H,W
315,3DD.003DA28686,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/12/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,62-3,,,,,Female,,,,,1.2,H,H,H
316,3DD.003DA28698,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,63-1,,,,,Female,,,,,1.2,H,H,H
317,3DD.003DA286AC,Wild Summer Steelhead,32W,Mark,720,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,63-2,,,,,Female,,,,,2.2,W,W,W
318,3DD.003DA28669,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,63-3,,,,,Female,,,,,2.2,W,W,W
319,3DD.003DA28667,Hat. Summer Steelhead,32H,Mark,720,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,63-4,,,,,Female,,,,,1.2,H,H,H
320,3DD.003DA28672,Hat. Summer Steelhead,32H,Mark,670,,AD MA RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,63-5,,,,,Male,,,,,1.2,H,H,H
321,3DD.003DA28655,Hat. Summer Steelhead,32H,Mark,700,,AD CW FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,63-6,,,,,Female,,,,,1.2,H,H,H
323,3DD.003DA2867C,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,64-2,,,,,Female,,,,,1.2,H,H,H
324,3DD.003DA28661,Hat. Summer Steelhead,32H,Mark,520,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,64-3,,,,,Female,,,,,UNREADABLE,,H,H
325,3DD.003DA286A7,Hat. Summer Steelhead,32H,Mark,690,,AD FE RF,SB,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,64-4,,,,,Female,,,,,1.2,H,H,H
326,3DD.003DA28676,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,64-5,,,,,Female,,,,,2.2,W,W,W
327,3DD.003DA2869F,Hat. Summer Steelhead,32H,Mark,760,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,64-6,,,,,Female,,,,,1.2,H,H,H
328,3DD.003DA28677,Wild Summer Steelhead,32W,Mark,680,,AI FE RF,GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,65-1,,,,,Female,,,,,2.2,W,W,W
329,3DD.003DA2865C,Hat. Summer Steelhead,32H,Mark,640,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,65-2,,,,,Female,,,,,R.2,,H,H
330,3DD.003DA28673,Hat. Summer Steelhead,32H,Mark,690,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,65-3,,,,,Female,,,,,R.2,,H,H
331,3DD.003DA28675,Hat. Summer Steelhead,32H,Mark,730,,AD CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,65-4,,,,,Female,,,,,1.2,H,H,H
332,3DD.003DA28658,Hat. Summer Steelhead,32H,Mark,630,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,65-5,,,,,Female,,,,,1.2,H,H,H
333,3DD.003DA2868A,Hat. Summer Steelhead,32H,Mark,720,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,65-6,,,,,Female,,,,,1.2,H,H,H
334,3DD.003DA2865D,Hat. Summer Steelhead,32H,Mark,710,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,66-1,,,,,Male,,,,,1.2,H,H,H
335,3DD.0077AD2A89,Hat. Summer Steelhead,32H,Recapture,740,,AD MA RE RF,This is a recap!!!!,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,66-2,,,,,Male,,,,,1.2,H,H,H
336,3DD.003DA28656,Hat. Summer Steelhead,32H,Mark,740,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,66-3,,,,,Male,,,,,1.2,H,H,H
337,3DD.003DA286A4,Hat. Summer Steelhead,32H,Mark,690,,AI CW MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,66-4,,,,,Male,,,,,1.2,H,H,H
338,3DD.003DA28697,Hat. Summer Steelhead,32H,Mark,740,,AD MA RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,66-5,,,,,Male,,,,,1.2,H,H,H
339,3DD.003DA286A5,Hat. Summer Steelhead,32H,Mark,510,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,66-6,,,,,Female,,,,,1.1,H,H,H
340,3DD.003DA28653,Hat. Summer Steelhead,32H,Mark,710,,AI CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,67-1,,,,,Female,,,,,1.2,H,H,H
341,3DD.003DA286B4,Hat. Summer Steelhead,32H,Mark,750,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,67-2,,,,,Female,,,,,1.2,H,H,H
342,3DD.003DA2867B,Wild Summer Steelhead,32W,Mark,730,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,67-3,,,,,Male,,,,,2.2,W,W,W
343,3DD.003DA2865E,Hat. Summer Steelhead,32H,Mark,780,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,67-4,,,,,Male,,,,,1.2,H,H,H
344,3DD.003DA28670,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,67-5,,,,,Female,,,,,1.2,H,H,H
345,3DD.003DA2869D,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,67-6,,,,,Female,,,,,2.2,W,W,W
346,3DD.003DA28699,Hat. Summer Steelhead,32H,Mark,730,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,68-1,,,,,Female,,,,,1.2,H,H,H
347,3DD.003DA28692,Hat. Summer Steelhead,32H,Mark,720,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/14/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,68-2,,,,,Female,,,,,1.2,H,H,H
348,3DD.003DA286A9,Hat. Summer Steelhead,32H,Mark,650,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,69-1,,,,,Female,,,,,1.2,H,H,H
349,3DD.003DA286A2,Hat. Summer Steelhead,32H,Mark,690,,AI CW FE RF,LW,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,69-2,,,,,Female,,,,,1.2,H,H,H
350,3DD.003DA2867A,Hat. Summer Steelhead,32H,Mark,630,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,69-3,,,,,Female,,,,,1.2,H,H,H
351,3DD.003DA28674,Hat. Summer Steelhead,32H,Mark,740,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,69-4,,,,,Female,,,,,1.2,H,H,H
352,3DD.003DA2868B,Wild Summer Steelhead,32W,Mark,740,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,69-5,,,,,Male,,,,,R.2,,W,W
353,3DD.003DA28664,Hat. Summer Steelhead,32H,Mark,670,,AD CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,69-6,,,,,Female,,,,,1.2,H,H,H
354,3DD.003DA28689,Hat. Summer Steelhead,32H,Mark,760,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,70-1,,,,,Male,,,,,1.2,H,H,H
355,3DD.003DA2866D,Hat. Summer Steelhead,32H,Mark,730,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,70-2,,,,,Female,,,,,R.2,,H,H
356,3DD.003DA286A8,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,70-3,,,,,Female,,,,,2.2,W,W,W
357,3DD.003DA286B0,Wild Summer Steelhead,32W,Mark,660,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,70-4,,,,,Female,,,,,2.2,W,W,W
358,3DD.003DA286B2,Hat. Summer Steelhead,32H,Mark,650,,AD CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,70-5,,,,,Female,,,,,1.2,H,H,H
359,3DD.003DA28685,Wild Summer Steelhead,32W,Mark,810,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,70-6,,,,,Male,,,,,2.2,W,W,W
360,3DD.003DA286A6,Hat. Summer Steelhead,32H,Mark,710,,AI FE RF,SB,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,71-1,,,,,Female,,,,,1.2,H,H,H
361,3DD.003DA28682,Wild Summer Steelhead,32W,Mark,790,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,71-2,,,,,Female,,,,,W1.3,W,W,W
362,3DD.003DA28695,Hat. Summer Steelhead,32H,Mark,530,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,71-3,,,,,Female,,,,,1.1,H,H,H
363,3DD.003DA28671,Hat. Summer Steelhead,32H,Mark,680,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,71-4,,,,,Male,,,,,1.2,H,H,H
364,3DD.003DA28651,Hat. Summer Steelhead,32H,Mark,810,,AD MA RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,71-5,,,,,Male,,,,,1.2,H,H,H
365,3DD.003DA2866B,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,71-6,,,,,Female,,,,,1.2,H,H,H
366,3DD.003DA2869B,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,LW,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,72-1,,,,,Female,,,,,2.2,W,W,W
367,3DD.003DA28684,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,72-2,,,,,Female,,,,,2.2,W,W,W
368,3DD.003D3659DF,Hat. Summer Steelhead,32H,Recapture,700,,AI CW MA RE RF,This is a recap!!!! GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,72-3,,,,,Male,,,,,1.2,H,H,H
369,3DD.003DA2865A,Wild Summer Steelhead,32W,Mark,770,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,72-4,,,,,Male,,,,,R.2,,W,W
370,3DD.003DA2868F,Hat. Summer Steelhead,32H,Mark,730,,AD FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,72-5,,,,,Female,,,,,1.2,H,H,H
371,3DD.003DA28678,Hat. Summer Steelhead,32H,Mark,730,,AD MA RF RV,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,72-6,,,,,Male,,,,,1.2,H,H,H
372,3DD.003DA2868E,Hat. Summer Steelhead,32H,Mark,690,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,73-1,,,,,Female,,,,,1.2,H,H,H
373,3DD.003DA28657,Wild Summer Steelhead,32W,Mark,720,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,73-2,,,,,Female,,,,,R.2,,W,W
374,3DD.003DA28688,Hat. Summer Steelhead,32H,Mark,720,,AD FE RF,LW,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,73-3,,,,,Female,,,,,1.2,H,H,H
375,3DD.003DA28663,Wild Summer Steelhead,32W,Mark,740,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,73-4,,,,,Female,,,,,2.2,W,W,W
376,3DD.0077CF707C,Wild Summer Steelhead,32W,Recapture,550,,AI MA RE RF,This is a recap!!!!,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,73-5,,,,,Male,,,,,R.1,,W,W
377,3DD.0077AAC35A,Wild Summer Steelhead,32W,Recapture,620,,AI FE RE RF,This is a recap!!!!,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,73-6,,,,,Female,,,,,2.2,W,W,W
378,3DD.003DA28681,Hat. Summer Steelhead,32H,Mark,630,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,74-1,,,,,Female,,,,,1.2,H,H,H
379,3DD.003DA286A3,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,74-2,,,,,Female,,,,,2.2,W,W,W
380,3DD.003DA2869E,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,74-3,,,,,Female,,,,,1.2,H,H,H
381,3DD.003DA28691,Wild Summer Steelhead,32W,Mark,710,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,74-4,,,,,Female,,,,,2.2,W,W,W
382,3DD.003DA2865B,Hat. Summer Steelhead,32H,Mark,760,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,74-5,,,,,Male,,,,,1.2,H,H,H
383,3DD.003DA2866E,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,74-6,,,,,Female,,,,,R.2,,W,W
384,3DD.003DA286AE,Wild Summer Steelhead,32W,Mark,790,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,75-1,,,,,Female,,,,,2.2,W,W,W
385,3DD.003DA2866F,Hat. Summer Steelhead,32H,Mark,700,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,75-2,,,,,Male,,,,,1.2,H,H,H
386,3DD.003DA28693,Hat. Summer Steelhead,32H,Mark,740,,AD FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,75-3,,,,,Female,,,,,1.2,H,H,H
387,3DD.003DA28668,Hat. Summer Steelhead,32H,Mark,720,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,75-4,,,,,Female,,,,,1.2,H,H,H
388,3DD.003DA28696,Wild Summer Steelhead,32W,Mark,740,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,75-5,,,,,Female,,,,,2.2,W,W,W
389,3DD.003DA2869C,Wild Summer Steelhead,32W,Mark,680,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/17/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,75-6,,,,,Female,,,,,3.2,W,W,W
390,3DD.003DA286E4,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,,7/10/2020 8:47,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,004-1,,,,,Female,,,,,2.2,W,W,W
391,3DD.0077A4C96B,Wild Summer Steelhead,32W,Recapture,740,,AI FE RE RF,This is a recap!!!!,7/10/2020 9:18,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,004-2,,,,,Female,,,,,2.2,W,W,W
392,3DD.003DA286D1,Wild Summer Steelhead,32W,Mark,750,,AI FE RF,,7/10/2020 10:03,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,004-3,,,,,Female,,,,,R.2,,W,W
393,3DD.003DA2870A,Hat. Summer Steelhead,32H,Mark,730,,AI CW FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,016-1,,,,,Female,,,,,1.2,H,H,H
394,3DD.003DA286D5,Hat. Summer Steelhead,32H,Mark,710,,AD FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,016-2,,,,,Female,,,,,1.2,H,H,H
395,3DD.003DA286E1,Hat. Summer Steelhead,32H,Mark,750,,AD FE RF,SS,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,016-3,,,,,Female,,,,,1.2,H,H,H
396,3DD.003DA286C4,Hat. Summer Steelhead,32H,Mark,740,,AD CW FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,016-4,,,,,Female,,,,,1.2,H,H,H
397,3DD.003DA286C6,Wild Summer Steelhead,32W,Mark,780,,AI FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,016-5,,,,,Female,,,,,R.2,,W,W
398,3DD.003DA286BB,Hat. Summer Steelhead,32H,Mark,700,,AD MA RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,016-6,,,,,Male,,,,,1.2,H,H,H
399,3DD.003DA286D8,Wild Summer Steelhead,32W,Mark,700,,AI MA RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,017-1,,,,,Male,,,,,W1.2,W,W,W
