site_code,node,site_name,site_type
BVX,JDA,Bonneville PH1 Juvenile (Exp.),INT
BWL,JDA,Bonneville WA Shore Ladder,INT
CAL,JDA,Carson NFH Adult Return Ladder,INT
CALAPR,JDA,Calapooia River,MRR
CAMPSL,JDA,"Campbell Slough, Lower Columbia",MRR
CANDLC,JDA,"Candle Creek, tributary to the Metolius River",MRR
CANY3C,JDA,"Canyon Creek, tributary to the Metolius River",MRR
CARS,JDA,Carson National Fish Hatchery,MRR
CBD,JDA,Clear Branch Dam,MRR
CBDFBY,JDA,CBD - Release into the Forebay within 0.5 km upstream of Dam,MRR
CBL,JDA,Clear Branch below the Dam,INT
CBS,JDA,Clear Branch Dam spillway,INT
CCC,JDA,"Carrolls Channel, Lwr Col Riv",INT
CEDARC,JDA,"Cedar Creek, tributary to Lewis River",MRR
CFD,JDA,Cowlitz Falls Dam,INT
CFD,JDA,Cowlitz Falls Dam,MRR
CFDNSC,JDA,CFD - Release into North Shore Collector Flume,MRR
CFDSF2,JDA,CFD - Release directly into spillway flume 2,MRR
CFDSF3,JDA,CFD - Release directly into spillway flume 3,MRR
CFDTAL,JDA,CFD - Release into the Tailrace within 0.5 km downstream of Dam,MRR
CFF,JDA,Castile Falls Fishway,INT
CGJ,JDA,Cougar Dam PFFC,INT
CGR,JDA,Cougar Dam,MRR
CGRTAL,JDA,CGR - Release into the Tailrace within 0.5 km downstream of Dam,MRR
CHENC,JDA,"Chenoweth Creek, The Dalles",MRR
CHINOR,JDA,"Chinook River, Washington (Columbia River Estuary)",MRR
CIC,JDA,"Cottonwood Island, Lwr Col Rvr",INT
CISPUR,JDA,Cispus River - tributary to Cowlitz River,MRR
CLCKMS,JDA,Clackamas River,MRR
CLEA3C,JDA,Clear Creek - tributary to Muddy River,MRR
CLEARP,JDA,Clear Creek Acclimation Pond,MRR
CLRBR,JDA,"Clear Branch, Middle Fork Hood River Watershed",MRR
COLR,JDA,Columbia River (Archaic - replaced with reach-specific definitions),MRR
COLR1,JDA,"Columbia River - mouth to Three Tree Point, WA (km 0-49)",MRR
COLR10,JDA,Columbia River - East Arrow Park to Revelstoke (km 1359 - 1476),MRR
COLR2,JDA,"Columbia River - Three Tree Point, WA to Lewis River (km 49-140)",MRR
COLR3,JDA,Columbia River - Lewis River to Bonneville Dam (km 140-234),MRR
COLR4,JDA,Columbia River - Bonneville Dam to John Day Dam (km 234-347),MRR
COLR5,JDA,Columbia River - John Day Dam to Snake River (km 347-522),MRR
COLR6,JDA,Columbia River - Snake River to Lower Crab Creek (km 522-661),MRR
