site_code,node,site_name,site_type
WOODIS,JDA,"Woody Island, Columbia River Estuary",MRR
WRA,JDA,Upper Wind River Auxillary,INT
WRNFMF,JDA,"North Fork, Middle Fork Willamette River",MRR
WRP,JDA,Woodland Release Ponds,INT
WRU,JDA,Upper Wind River (WA) rkm 30,INT
WSH,JDA,Warm Springs Hatchery,INT
WSPH,JDA,Warm Springs National Fish Hatchery,MRR
WSR,JDA,Warm Springs River PIT Array,INT
WYCHUC,JDA,"Wychus Creek, Upper Deschutes River Basin",MRR
WZDF,JDA,"Wizard Falls Hatchery, ODFW",MRR
YOUNGB,JDA,"Youngs Bay, tributary to the Columbia River",MRR
JOH,JOH,Johnson Creek,INT
LBC,LBCA0,"Libby Creek, Methow River",INT
LBC,LBCB0,"Libby Creek, Methow River",INT
LLC,LLCA0,Loup Loup Creek Instream Array,INT
LLC,LLCB0,Loup Loup Creek Instream Array,INT
LMR,LMRA0,Lower Methow River at Pateros,INT
LMR,LMRB0,Lower Methow River at Pateros,INT
LEAV,LNFA0,Leavenworth National Fish Hatchery,MRR
LNF,LNFA0,Leavenworth NFH Adult Ladder,INT
LNF,LNFB0,Leavenworth NFH Adult Ladder,INT
DRY,LWEA0,"Dryden Diversion Dam, Wenatchee River",MRR
LWE,LWEA0,Lower Wenatchee River,INT
LWE,LWEB0,Lower Wenatchee River,INT
LWENAT,LWNA0,Little Wenatchee River,MRR
LWN,LWNA0,Little Wenatchee River,INT
LWN,LWNB0,Little Wenatchee River,INT
MAD,MADA0,"Mad River, Entiat River Basin",INT
MAD,MADB0,"Mad River, Entiat River Basin",INT
MCL,MCLA0,Lower Mission Creek Instream,INT
MCL,MCLB0,Lower Mission Creek Instream,INT
MDR,MDRB0,McDonald Road Bridge,INT
METH,METHA0,Methow Hatchery,MRR
MSH,METHB0,Methow Fish Hatchery Outfall,INT
MRC,MRCB0,Methow River at Carlton,INT
MRW,MRWA0,Methow River at Winthrop,INT
MRW,MRWB0,Methow River at Winthrop,INT
MSH,MSHA0,Methow Fish Hatchery Outfall,INT
MSH,MSHB0,Methow Fish Hatchery Outfall,INT
"NAL","NALA0",Lower Nason Creek,INT
"NASONC","NALA0",Nason Creek (tributary to Wenatchee River),MRR
"NAL","NALB0",Lower Nason Creek,INT
"NAU","NAUA0",Upper Nason Creek,INT
"NAU","NAUB0",Upper Nason Creek,INT
NMC,NMCA0,Ninemile Creek Instream Array,INT
NMC,NMCB0,Ninemile Creek Instream Array,INT
OBF,OBF,Omak Creek below Mission Falls,INT
OKC,OKCA0,Okanagan Channel at VDS-3,INT
OKC,OKCB0,Okanagan Channel at VDS-3,INT
OKI,OKIA0,Inkaneep Creek ,INT
OKI,OKIB0,Inkaneep Creek ,INT
OKL,OKLA0,Lower Okanogan Instream Array,INT
OKL,OKLB0,Lower Okanogan Instream Array,INT
OKM,OKM,McIntyre Dam,INT
OKP,OKP,Penticton Channel PIT Array,INT
OKS,OKSA0,Shingle Creek,INT
OKS,OKSB0,Shingle Creek,INT
OKV,OKVA0,"Vasuex Creek, BC, Canada",INT
OKV,OKVB0,"Vasuex Creek, BC, Canada",INT
OKW,OKWA0,Shuttleworth Creek,INT
OKW,OKWB0,Shuttleworth Creek,INT
OMF,OMFA0,Omak Creek above Mission Falls,INT
OMF,OMFB0,Omak Creek above Mission Falls,INT
OMH,OMH,Omak Creek Haley Creek Road,INT
OMK,OMKA0,Omak Creek Instream Array,INT
OMK,OMKB0,Omak Creek Instream Array,INT
PES,PESA0,Peshastin Creek,INT
PES,PESB0,Peshastin Creek,INT
PEU,PEUA0,Upper Peshastin Creek,INT
PEU,PEUB0,Upper Peshastin Creek,INT
PRA,PRA,Priest Rapids Adult,INT
PRDLD1,PRA,PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder,MRR
PRH,PRHA0,Priest Rapids Hatchery Outfall,INT
PRH,PRHB0,Priest Rapids Hatchery Outfall,INT
PRO,PROB0,Prosser Diversion Dam Combined,INT
PRV,PRV,Walla Walla R at Pierce RV Prk,INT
RCT,RCTA0,Roaring Creek Temporary Array,INT
RCT,RCTB0,Roaring Creek Temporary Array,INT
RIA,RIA,Rock Island Adult,INT
RRF,RRF,Rocky Reach Fishway,INT
RRJ,RRF,Rocky Reach Dam Juvenile,INT
RSH,RSHA0,Ringold Springs Hatch. Outfall,INT
RSH,RSHB0,Ringold Springs Hatch. Outfall,INT
SA0,SA0A0,Salmon Creek below OID Div.,INT
SA0,SA0B0,Salmon Creek below OID Div.,INT
SA1,SA1A0,Salmon Creek Instream Array,INT
SA1,SA1B0,Salmon Creek Instream Array,INT
SCP,SCPA0,Spring Creek Acclimation Pond,INT
SCP,SCPB0,Spring Creek Acclimation Pond,INT
SKA,SKAA0,Skaha Dam Fish Ladder,INT
SKA,SKAB0,Skaha Dam Fish Ladder,INT
SKA,SKAB0,Skaha Dam,MRR
TMF,TMF,Three Mile Falls Dam Combined,INT
TNK,TNK,Tunk Creek Instream Array,INT
TON,TON,Tonasket Creek,INT
TUF,TUM,Tumwater Dam Adult Fishway,INT
TUM,TUM,"Tumwater Dam, Wenatchee River",MRR
TUMFBY,TUM,TUM - Release into the Forebay within 0.5 km upstream of Dam,MRR
TWISPW,TWISPW,Twisp River Weir (WDFW),MRR
TWR,TWRA0,Lwr Twisp Rvr near MSRF Ponds,INT
TWR,TWRB0,Lwr Twisp Rvr near MSRF Ponds,INT
UWE,UWE,Upper Wenatchee River,INT
WAN,WAN,Wanacut Creek,INT
WEA,WEA,"Wells Dam, DCPUD Adult Ladders",INT
WEH,WEHA0,Wells Dam Hatchery,INT
WEH,WEHB0,Wells Dam Hatchery,INT
WFC,WFC,"Wolf Creek, Methow River",INT
WHS,WHS,Wildhorse Spring Creek,INT
WHITER,WTLA0,"White River, Wenatchee River Basin",MRR
WTL,WTLA0,"White River, Wenatchee Basin",INT
WTL,WTLB0,"White River, Wenatchee Basin",INT
ZSL,ZSLA0,Zosel Dam Combined,INT
ZSL,ZSLB0,Zosel Dam Combined,INT
